trial_num,min_blob_area,mog2_history,mog2_varThreshold,morph_kernel_size,gaussian_ksize,clahe_clip_limit,clahe_tile_grid_size,max_misses,association_threshold,Q,R,seq_8_car_success,seq_8_car_time,seq_8_garden_success,seq_8_garden_time,seq_8_hiding_success,seq_8_hiding_time,seq_8_saturated_success,seq_8_saturated_time,seq_8_crowd_success,seq_8_crowd_time,seq_8_birds_success,seq_8_birds_time,seq_8_depthwise_crossing_success,seq_8_depthwise_crossing_time,seq_8_quadrocopter_success,seq_8_quadrocopter_time,seq_8_selma_success,seq_8_selma_time,seq_8_trees_success,seq_8_trees_time,seq_8_soccer_success,seq_8_soccer_time,target_metric,metric_value,score_to_minimize,processed_seq,errors,frames,time_sec
60,489,670,96.26974,7,5,1.39171,"(8, 8)",10,37.57592,0.08666,83.48527,True,5.99254,True,2.10734,True,0.79473,True,1.37484,True,0.38383,True,1.25538,True,3.99968,True,1.00288,True,1.02731,True,2.77633,True,7.42008,idf1,0.16553,0.83447,,,5717,28.15219
61,488,759,99.07819,3,7,4.86406,"(8, 8)",10,51.18303,0.19933,88.78853,True,6.10094,True,2.41243,True,0.84629,True,1.49833,True,0.40602,True,1.34358,True,4.16781,True,1.09957,True,1.05143,True,2.93475,True,7.25933,idf1,0.12598,0.87402,,,5717,29.14002
62,417,705,83.49042,3,3,1.31707,"(8, 8)",9,134.75869,0.80000,67.96601,True,5.98902,True,2.17292,True,0.81867,True,1.52420,True,0.37187,True,1.27882,True,4.01752,True,1.06729,True,1.04088,True,2.78174,True,7.19769,idf1,0.16685,0.83315,,,5717,28.27974
63,475,528,95.18614,5,3,2.29333,"(8, 8)",9,100.67318,0.04929,48.79185,True,5.88377,True,2.21655,True,0.83281,True,1.38386,True,0.39263,True,1.26839,True,3.92086,True,1.01911,True,1.02931,True,2.76834,True,7.11759,idf1,0.14022,0.85978,,,5717,27.85082
64,478,578,97.21301,3,7,1.00000,"(8, 8)",9,82.97863,0.80000,200.00000,True,5.90664,True,2.12498,True,0.85519,True,1.45222,True,0.37752,True,1.26839,True,3.91290,True,1.03821,True,1.03148,True,2.74468,True,7.22079,idf1,0.14078,0.85922,,,5717,27.95156
65,484,730,18.52454,5,3,1.04215,"(8, 8)",10,31.69755,0.13775,184.69612,True,6.08318,True,2.50936,True,0.97171,True,1.63708,True,0.38528,True,1.34712,True,4.13294,True,3.78350,True,2.68634,True,8.22877,True,18.76230,idf1,0.12633,0.87367,,,5717,50.59208
66,416,742,97.07601,5,5,1.17807,"(12, 12)",10,90.19740,0.13205,117.55714,True,17.54371,True,6.96154,True,2.75096,True,3.97317,True,1.15696,True,3.54941,True,9.14345,True,1.01992,True,1.03554,True,2.77498,True,7.30578,idf1,0.14721,0.85279,,,5717,57.23567
67,59,100,92.65844,3,3,4.29476,"(8, 8)",3,68.22598,0.00012,64.68175,True,5.92229,True,2.41980,True,0.90804,True,1.83420,True,0.45896,True,1.38785,True,4.14565,True,1.38418,True,1.09291,True,2.85323,True,7.43742,idf1,0.03281,0.96719,,,5717,29.87638
68,494,741,96.92007,3,3,4.73658,"(8, 8)",3,76.83303,0.57523,89.79428,True,6.03204,True,2.37348,True,0.82171,True,1.50853,True,0.41593,True,1.30080,True,8.27300,True,3.47756,True,2.95944,True,8.50311,True,17.64684,idf1,0.07945,0.92055,,,5717,53.38675
69,498,795,80.43302,5,5,2.44333,"(16, 16)",9,140.24967,0.74033,91.04671,True,17.67987,True,7.27986,True,2.82356,True,3.99378,True,1.04404,True,3.72779,True,12.20158,True,3.32216,True,3.05394,True,8.70743,True,10.56174,idf1,0.14369,0.85631,,,5717,74.41435
